Class,Accuracy,Precision,Recall,F1
N,1.0,1.0,1.0,1.0
\forall,1.0,1.0,1.0,1.0
\in,1.0,1.0,1.0,1.0
h,1.0,0.4,1.0,0.5714285714285715
\log,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695
\sum,0.8974358974358975,0.875,0.8974358974358975,0.8860759493670887
\lim,0.85,0.8947368421052632,0.85,0.8717948717948718
A,0.8461538461538461,0.7857142857142857,0.8461538461538461,0.8148148148148148
\rightarrow,0.8235294117647058,0.9333333333333333,0.8235294117647058,0.8749999999999999
\int,0.8108108108108109,0.8571428571428571,0.8108108108108109,0.8333333333333334
\Delta,0.8,1.0,0.8,0.888888888888889
B,0.7777777777777778,1.0,0.7777777777777778,0.8750000000000001
=,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555
>,0.75,0.42857142857142855,0.75,0.5454545454545454
\tan,0.75,0.9130434782608695,0.75,0.8235294117647057
\frac,0.7431192660550459,0.726457399103139,0.7431192660550459,0.7346938775510203
e,0.7407407407407407,0.5714285714285714,0.7407407407407407,0.6451612903225806
\sqrt,0.7380952380952381,0.7126436781609196,0.7380952380952381,0.7251461988304094
0,0.7303370786516854,0.5909090909090909,0.7303370786516854,0.6532663316582914
y,0.728,0.6691176470588235,0.728,0.6973180076628351
7,0.7222222222222222,0.7647058823529411,0.7222222222222222,0.7428571428571428
(,0.7063197026022305,0.662020905923345,0.7063197026022305,0.6834532374100719
a,0.7037037037037037,0.6884057971014492,0.7037037037037037,0.6959706959706959
m,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.7027027027027027
{,0.6992782678428228,0.7083671811535337,0.6992782678428228,0.7037933817594834
^,0.698005698005698,0.7101449275362319,0.698005698005698,0.7040229885057473
+,0.693069306930693,0.6645569620253164,0.693069306930693,0.6785137318255251
\infty,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
3,0.6901408450704225,0.6712328767123288,0.6901408450704225,0.6805555555555556
p,0.6896551724137931,0.47619047619047616,0.6896551724137931,0.5633802816901408
x,0.6822742474916388,0.6868686868686869,0.6822742474916388,0.6845637583892618
},0.6779513888888888,0.6519198664440734,0.6779513888888888,0.6646808510638298
-,0.675,0.6893617021276596,0.675,0.6821052631578948
<,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285715
F,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6153846153846153
\{,0.6666666666666666,1.0,0.6666666666666666,0.8
b,0.6629213483146067,0.7023809523809523,0.6629213483146067,0.6820809248554913
8,0.6571428571428571,0.6216216216216216,0.6571428571428571,0.6388888888888888
\cos,0.6486486486486487,0.6666666666666666,0.6486486486486487,0.6575342465753425
),0.6419753086419753,0.5909090909090909,0.6419753086419753,0.6153846153846153
2,0.6397849462365591,0.6230366492146597,0.6397849462365591,0.6312997347480107
4,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146
[,0.6285714285714286,0.8148148148148148,0.6285714285714286,0.7096774193548386
\sin,0.625,0.5813953488372093,0.625,0.6024096385542168
_,0.6200980392156863,0.6931506849315069,0.6200980392156863,0.6545924967658475
1,0.6172506738544474,0.659942363112392,0.6172506738544474,0.637883008356546
n,0.6,0.5389221556886228,0.6,0.5678233438485804
5,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
9,0.5849056603773585,0.8157894736842105,0.5849056603773585,0.6813186813186812
\leq,0.5833333333333334,0.6363636363636364,0.5833333333333334,0.6086956521739131
g,0.5833333333333334,0.6363636363636364,0.5833333333333334,0.6086956521739131
f,0.5789473684210527,0.6285714285714286,0.5789473684210527,0.6027397260273972
z,0.576271186440678,0.5573770491803278,0.576271186440678,0.5666666666666667
R,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
\geq,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6153846153846153
i,0.5692307692307692,0.578125,0.5692307692307692,0.5736434108527132
6,0.5675675675675675,0.4772727272727273,0.5675675675675675,0.5185185185185185
.,0.5555555555555556,0.45454545454545453,0.5555555555555556,0.5
H,0.5555555555555556,0.625,0.5555555555555556,0.5882352941176471
k,0.5555555555555556,0.6451612903225806,0.5555555555555556,0.5970149253731343
\times,0.5531914893617021,0.52,0.5531914893617021,0.536082474226804
\alpha,0.55,0.5789473684210527,0.55,0.5641025641025641
d,0.55,0.5238095238095238,0.55,0.5365853658536585
q,0.5416666666666666,0.3333333333333333,0.5416666666666666,0.4126984126984126
u,0.5294117647058824,0.47368421052631576,0.5294117647058824,0.5
/,0.5,0.8,0.5,0.6153846153846154
\lambda,0.5,1.0,0.5,0.6666666666666666
\mu,0.5,0.6,0.5,0.5454545454545454
\neq,0.5,1.0,0.5,0.6666666666666666
v,0.5,0.45161290322580644,0.5,0.47457627118644063
w,0.5,0.5714285714285714,0.5,0.5333333333333333
\},0.5,1.0,0.5,0.6666666666666666
\theta,0.4827586206896552,0.4117647058823529,0.4827586206896552,0.4444444444444445
j,0.47619047619047616,0.43478260869565216,0.47619047619047616,0.4545454545454545
t,0.46511627906976744,0.4444444444444444,0.46511627906976744,0.4545454545454546
\gamma,0.4444444444444444,0.26666666666666666,0.4444444444444444,0.33333333333333337
c,0.43636363636363634,0.4528301886792453,0.43636363636363634,0.4444444444444444
\beta,0.43478260869565216,0.5263157894736842,0.43478260869565216,0.47619047619047616
G,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
\pi,0.42857142857142855,0.5625,0.42857142857142855,0.4864864864864864
l,0.4166666666666667,0.7142857142857143,0.4166666666666667,0.5263157894736842
E,0.4,0.6666666666666666,0.4,0.5
T,0.4,0.3333333333333333,0.4,0.3636363636363636
\pm,0.4,0.4,0.4,0.4000000000000001
],0.4,0.5263157894736842,0.4,0.45454545454545453
|,0.3695652173913043,0.4146341463414634,0.3695652173913043,0.3908045977011494
L,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
I,0.3333333333333333,0.4,0.3333333333333333,0.3636363636363636
M,0.3333333333333333,0.25,0.3333333333333333,0.28571428571428575
P,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.4545454545454545
\phi,0.3333333333333333,0.5,0.3333333333333333,0.4
!,0.3157894736842105,0.4,0.3157894736842105,0.35294117647058826
S,0.26666666666666666,0.6666666666666666,0.26666666666666666,0.3809523809523809
",",0.25,0.2222222222222222,0.25,0.23529411764705882
\div,0.25,1.0,0.25,0.4
X,0.21739130434782608,0.25,0.21739130434782608,0.23255813953488372
\sigma,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.19999999999999998
Y,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.2222222222222222
\ldots,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.17142857142857143
o,0.125,0.125,0.125,0.125
C,0.12,0.3333333333333333,0.12,0.1764705882352941
r,0.10714285714285714,0.15,0.10714285714285714,0.125
eos,0.0,0.0,0.0,0.0
sos,0.0,0.0,0.0,0.0
',0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0
\cdot,0.0,0.0,0.0,0.0
\cdots,0.0,0.0,0.0,0.0
\exists,0.0,0.0,0.0,0.0
\prime,0.0,0.0,0.0,0.0
s,0.0,0.0,0.0,0.0
